year,n,name,annio,periodo,mes,parametro
20201201,24907,Cataluna,2020,Trimestre 4,12,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20201201,17082,Cataluna,2020,Trimestre 4,12,Robos con violencia e intimidación
20201201,3,Cataluna,2020,Trimestre 4,12,Secuestro
20201201,613,Cataluna,2020,Trimestre 4,12,Sustracciones de vehículos
20201201,2946,Cataluna,2020,Trimestre 4,12,Tráfico de drogas
20210301,119,Cataluna,2021,Trimestre 1,3,Agresión sexual con penetración
20210301,14,Cataluna,2021,Trimestre 1,3,Homicidios dolosos y asesinatos consumados
20210301,22363,Cataluna,2021,Trimestre 1,3,Hurtos
20210301,5165,Cataluna,2021,Trimestre 1,3,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20210301,4233,Cataluna,2021,Trimestre 1,3,Robos con violencia e intimidación
20210301,2,Cataluna,2021,Trimestre 1,3,Secuestro
20210301,1198,Cataluna,2021,Trimestre 1,3,Sustracciones de vehículos
20210301,902,Cataluna,2021,Trimestre 1,3,Tráfico de drogas
20210601,265,Cataluna,2021,Trimestre 2,6,Agresión sexual con penetración
20210601,26,Cataluna,2021,Trimestre 2,6,Homicidios dolosos y asesinatos consumados
20210601,50053,Cataluna,2021,Trimestre 2,6,Hurtos
20210601,10131,Cataluna,2021,Trimestre 2,6,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20210601,8858,Cataluna,2021,Trimestre 2,6,Robos con violencia e intimidación
20210601,5,Cataluna,2021,Trimestre 2,6,Secuestro
20210601,2749,Cataluna,2021,Trimestre 2,6,Sustracciones de vehículos
20210601,1874,Cataluna,2021,Trimestre 2,6,Tráfico de drogas
20210901,462,Cataluna,2021,Trimestre 3,9,Agresión sexual con penetración
20210901,39,Cataluna,2021,Trimestre 3,9,Homicidios dolosos y asesinatos consumados
20210901,83899,Cataluna,2021,Trimestre 3,9,Hurtos
20210901,16096,Cataluna,2021,Trimestre 3,9,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20210901,14599,Cataluna,2021,Trimestre 3,9,Robos con violencia e intimidación
20210901,9,Cataluna,2021,Trimestre 3,9,Secuestro
20210901,4339,Cataluna,2021,Trimestre 3,9,Sustracciones de vehículos
20210901,2951,Cataluna,2021,Trimestre 3,9,Tráfico de drogas
20211201,608,Cataluna,2021,Trimestre 4,12,Agresión sexual con penetración
20211201,54,Cataluna,2021,Trimestre 4,12,Homicidios dolosos y asesinatos consumados
20211201,118746,Cataluna,2021,Trimestre 4,12,Hurtos
20211201,22852,Cataluna,2021,Trimestre 4,12,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20211201,20501,Cataluna,2021,Trimestre 4,12,Robos con violencia e intimidación
20211201,11,Cataluna,2021,Trimestre 4,12,Secuestro
20211201,6168,Cataluna,2021,Trimestre 4,12,Sustracciones de vehículos
20211201,3874,Cataluna,2021,Trimestre 4,12,Tráfico de drogas
20220301,167,Cataluna,2022,Trimestre 1,3,Agresión sexual con penetración
20220301,10,Cataluna,2022,Trimestre 1,3,Homicidios dolosos y asesinatos consumados
20220301,34391,Cataluna,2022,Trimestre 1,3,Hurtos
20220301,6855,Cataluna,2022,Trimestre 1,3,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20220301,5689,Cataluna,2022,Trimestre 1,3,Robos con violencia e intimidación
20220301,1,Cataluna,2022,Trimestre 1,3,Secuestro
