year;n;name;tipo
1-Sep-21;14599;Cataluna;Robos con violencia e intimidación 
1-Sep-21;9;Cataluna;Secuestro 
1-Sep-21;4339;Cataluna;Sustracciones de vehículos 
1-Sep-21;2951;Cataluna;Tráfico de drogas 
1-Dec-21;608;Cataluna;Agresión sexual con penetración 
1-Dec-21;54;Cataluna;Homicidios dolosos y asesinatos consumados 
1-Dec-21;118746;Cataluna;Hurtos 
1-Dec-21;22852;Cataluna;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Dec-21;20501;Cataluna;Robos con violencia e intimidación 
1-Dec-21;11;Cataluna;Secuestro 
1-Dec-21;6168;Cataluna;Sustracciones de vehículos 
1-Dec-21;3874;Cataluna;Tráfico de drogas 
1-Mar-22;167;Cataluna;Agresión sexual con penetración 
1-Mar-22;10;Cataluna;Homicidios dolosos y asesinatos consumados 
1-Mar-22;34391;Cataluna;Hurtos 
1-Mar-22;6855;Cataluna;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Mar-22;5689;Cataluna;Robos con violencia e intimidación 
1-Mar-22;1;Cataluna;Secuestro 
1-Mar-22;1653;Cataluna;Sustracciones de vehículos 
1-Mar-22;1022;Cataluna;Tráfico de drogas 
1-Dec-19;177;Comunidad Valenciana;Agresión sexual con penetración 
1-Dec-19;40;Comunidad Valenciana;Homicidios dolosos y asesinatos consumados 
1-Dec-19;68122;Comunidad Valenciana;Hurtos 
1-Dec-19;19832;Comunidad Valenciana;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Dec-19;495;Comunidad Valenciana;Robos con violencia e intimidación 
1-Dec-19;4;Comunidad Valenciana;Secuestro 
1-Dec-19;319;Comunidad Valenciana;Sustracciones de vehículos 
1-Dec-19;1979;Comunidad Valenciana;Tráfico de drogas 
1-Mar-20;40;Comunidad Valenciana;Agresión sexual con penetración 
1-Mar-20;10;Comunidad Valenciana;Homicidios dolosos y asesinatos consumados 
1-Mar-20;12676;Comunidad Valenciana;Hurtos 
1-Mar-20;4563;Comunidad Valenciana;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Mar-20;1018;Comunidad Valenciana;Robos con violencia e intimidación 
1-Mar-20;4;Comunidad Valenciana;Secuestro 
1-Mar-20;619;Comunidad Valenciana;Sustracciones de vehículos 
1-Mar-20;456;Comunidad Valenciana;Tráfico de drogas 
1-Jun-20;76;Comunidad Valenciana;Agresión sexual con penetración 
1-Jun-20;16;Comunidad Valenciana;Homicidios dolosos y asesinatos consumados 
1-Jun-20;17606;Comunidad Valenciana;Hurtos 
1-Jun-20;6737;Comunidad Valenciana;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Jun-20;149;Comunidad Valenciana;Robos con violencia e intimidación 
1-Jun-20;9;Comunidad Valenciana;Secuestro 
1-Jun-20;985;Comunidad Valenciana;Sustracciones de vehículos 
1-Jun-20;954;Comunidad Valenciana;Tráfico de drogas 
1-Sep-20;137;Comunidad Valenciana;Agresión sexual con penetración 
1-Sep-20;28;Comunidad Valenciana;Homicidios dolosos y asesinatos consumados 
1-Sep-20;31739;Comunidad Valenciana;Hurtos 
1-Sep-20;1098;Comunidad Valenciana;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Sep-20;2732;Comunidad Valenciana;Robos con violencia e intimidación 
1-Sep-20;12;Comunidad Valenciana;Secuestro 
1-Sep-20;1749;Comunidad Valenciana;Sustracciones de vehículos 
1-Sep-20;1418;Comunidad Valenciana;Tráfico de drogas 
1-Dec-20;186;Comunidad Valenciana;Agresión sexual con penetración 
1-Dec-20;37;Comunidad Valenciana;Homicidios dolosos y asesinatos consumados 
1-Dec-20;43801;Comunidad Valenciana;Hurtos 
1-Dec-20;15187;Comunidad Valenciana;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Dec-20;3772;Comunidad Valenciana;Robos con violencia e intimidación 
1-Dec-20;14;Comunidad Valenciana;Secuestro 
1-Dec-20;2377;Comunidad Valenciana;Sustracciones de vehículos 
1-Dec-20;1863;Comunidad Valenciana;Tráfico de drogas 
1-Mar-21;41;Comunidad Valenciana;Agresión sexual con penetración 
1-Mar-21;4;Comunidad Valenciana;Homicidios dolosos y asesinatos consumados 
1-Mar-21;10113;Comunidad Valenciana;Hurtos 
1-Mar-21;3611;Comunidad Valenciana;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Mar-21;815;Comunidad Valenciana;Robos con violencia e intimidación 
1-Mar-21;1;Comunidad Valenciana;Secuestro 
1-Mar-21;526;Comunidad Valenciana;Sustracciones de vehículos 
